method,taxon_key,vote_count,conflict_vote_count,direction_counts_json,direction_evaluations_json,selected_direction,signal_classification,minimum_support,maximum_opposition,policy_hash,method_display_name,voting_unit,taxon_key_policy,comparison_policy,scope_policy
vu_report__taxon_resolved_target__comparison_ignore,Desulfovibrio,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Dialister,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":true,""support"":2},""increased_in_AH"":{""conflicts"":0,""opposition"":2,""passes"":false,""support"":0}}",decreased_in_AH,retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Enterocloster,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Enterococcus,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Gemmiger,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Klebsiella,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Leyella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Oscillibacter,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Parabacteroides,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Phocaeicola,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Segatella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Streptococcus,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Succinivibrio,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Sutterella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Veillonella,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":2,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":true,""support"":2}}",increased_in_AH,retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_ignore,Victivallis,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparisons ignored,report,resolved_target,ignore,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Alistipes,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Bacteroides,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Desulfovibrio,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Dialister,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":true,""support"":2},""increased_in_AH"":{""conflicts"":0,""opposition"":2,""passes"":false,""support"":0}}",decreased_in_AH,retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Enterocloster,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Enterococcus,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Gemmiger,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Klebsiella,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Leyella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Oscillibacter,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Parabacteroides,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Phocaeicola,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Segatella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Streptococcus,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Succinivibrio,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Sutterella,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":false,""support"":1},""increased_in_AH"":{""conflicts"":0,""opposition"":1,""passes"":false,""support"":0}}",,not_retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
vu_report__taxon_resolved_target__comparison_separate_votes,Veillonella,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}","{""decreased_in_AH"":{""conflicts"":0,""opposition"":2,""passes"":false,""support"":0},""increased_in_AH"":{""conflicts"":0,""opposition"":0,""passes"":true,""support"":2}}",increased_in_AH,retained,2,0,1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba,report; resolved target taxon; comparison-specific votes,report,resolved_target,separate_votes,primary_comparisons_and_primary_evidence_tiers
